nom,type,adresse,code_postal,commune,code_insee,tel,gestion,gestionnaire,capacite,nb_accueil_fam,age_mini_mois,age_maxi_annee,handicap,geo_shape,geo_point_2d
A Petit Pas,Multi-accueil,17 RUE EUGENIE CARMIGNAT,92270,BOIS COLOMBES,92009,,Commune,Commune de Bois-Colombes,50.0,,2.5,4.0,,"{""coordinates"": [2.273703999542301, 48.92592299964474], ""type"": ""Point""}","48.92592299964474, 2.273703999542301"
Aglaé,Accueil familial,19 RUE DES QUATRE VENTS,92380,GARCHES,92033,01 47 41 37 73,Associatif,Association Aglaé,25.0,25.0,2.5,4.0,,"{""coordinates"": [2.1951949999715676, 48.84818700015156], ""type"": ""Point""}","48.84818700015156, 2.1951949999715676"
Anne de Gaulle,Multi-accueil,24 BOULEVARD CHARLES DE GAULLE,92120,MONTROUGE,92049,01 46 12 76 64,Commune,Commune de Montrouge,70.0,,2.5,4.0,6.0,"{""coordinates"": [2.327779999771761, 48.81548900029998], ""type"": ""Point""}","48.81548900029998, 2.327779999771761"
Anne Sylvestre,Multi-accueil,5 RUE OLYMPE DE GOUGES,92600,ASNIERES SUR SEINE,92004,01 41 11 16 00,Commune,Commune d'Asnières-sur-Seine,60.0,,2.5,4.0,5.0,"{""coordinates"": [2.318023000521677, 48.91839300002703], ""type"": ""Point""}","48.91839300002703, 2.318023000521677"
Arche de Noé,Multi-accueil,26 RUE SAULNIER,92800,PUTEAUX,92062,01 49 01 13 80,Commune,Commune de Puteaux,48.0,,2.5,4.0,,"{""coordinates"": [2.2407509998650057, 48.88144799991898], ""type"": ""Point""}","48.88144799991898, 2.2407509998650057"
Asnières-sur-Seine Faidherbe,Micro crèche,16 AVENUE FAIDHERBE,92600,ASNIERES SUR SEINE,92004,,Privé,Société LPCR Groupe,12.0,,2.5,4.0,5.0,"{""coordinates"": [2.2669740000323055, 48.90770600040483], ""type"": ""Point""}","48.90770600040483, 2.2669740000323055"
Asnières-sur-Seine Pierre Brossolette,Multi-accueil,9 RUE PIERRE BROSSOLETTE,92600,ASNIERES SUR SEINE,92004,01 47 98 43 70,Privé,Société LPCR 2,25.0,,2.5,4.0,,"{""coordinates"": [2.2910509998335713, 48.91081200041054], ""type"": ""Point""}","48.91081200041054, 2.2910509998335713"
Au Jardin du Bonheur,Micro crèche,80 82 RUE ANATOLE FRANCE,92300,LEVALLOIS,92044,09 86 59 65 65,Privé,Société Au Jardin du Bonheur,12.0,,2.5,4.0,,"{""coordinates"": [2.2843769996750547, 48.89291599974587], ""type"": ""Point""}","48.89291599974587, 2.2843769996750547"
Au Pays des Merveilles,Crèche parentale,39 RUE DE LA GARENNE,92310,SEVRES,92072,,Associatif,Association Au Pays des Merveilles Crèche Parentale,12.0,,2.5,4.0,,"{""coordinates"": [2.2120170004672017, 48.8142560003143], ""type"": ""Point""}","48.8142560003143, 2.2120170004672017"
Babilou Boulogne Gallieni 134,Multi-accueil,134 RUE GALLIENI,92100,BOULOGNE BILLANCOURT,92012,01 46 05 06 44,Privé,Société Evancia,22.0,,2.5,4.0,5.0,"{""coordinates"": [2.237218999925549, 48.836340000157186], ""type"": ""Point""}","48.836340000157186, 2.237218999925549"
Babilou Châtillon Liberté,Multi-accueil,53 55 BOULEVARD DE LA LIBERTE,92320,CHATILLON,92020,,Privé,Société Evancia,52.0,,2.5,4.0,5.0,"{""coordinates"": [2.2935240003243287, 48.801188000197726], ""type"": ""Point""}","48.801188000197726, 2.2935240003243287"
Babilou Clichy Chance Milly,Multi-accueil,28 RUE CHANCE MILLY,92110,CLICHY,92024,,Privé,Société Evancia,20.0,,2.5,4.0,5.0,"{""coordinates"": [2.3035650005444506, 48.89725099966093], ""type"": ""Point""}","48.89725099966093, 2.3035650005444506"
Babilou Colombes Barbusse,Multi-accueil,102 AVENUE HENRI BARBUSSE,92700,COLOMBES,92025,,Privé,Société Evancia,41.0,,2.5,4.0,,"{""coordinates"": [2.252585999803177, 48.91674799978645], ""type"": ""Point""}","48.91674799978645, 2.252585999803177"
Babilou Neuilly Sablonville,Multi-accueil,15 RUE DE SABLONVILLE,92200,NEUILLY SUR SEINE,92051,01 47 22 56 03,Privé,Société Evancia,13.0,,2.5,4.0,5.0,"{""coordinates"": [2.2801840002195046, 48.88051800042544], ""type"": ""Point""}","48.88051800042544, 2.2801840002195046"
Babilou Puteaux Vaillant,Multi-accueil,5 RUE EDOUARD VAILLANT,92800,PUTEAUX,92062,01 47 74 70 29,Privé,Société Evancia,35.0,,2.5,4.0,5.0,"{""coordinates"": [2.2426629996245127, 48.88632599984156], ""type"": ""Point""}","48.88632599984156, 2.2426629996245127"
Babilou Puteaux Verdun,Multi-accueil,114 116 RUE DE VERDUN,92800,PUTEAUX,92062,01 45 06 57 78,Privé,Société Evancia,34.0,,2.5,4.0,5.0,"{""coordinates"": [2.2343880002374883, 48.8778550002054], ""type"": ""Point""}","48.8778550002054, 2.2343880002374883"
Babypop - Colombes,Micro crèche,18 20 PLACE HENRI NEVEU,92700,COLOMBES,92025,09 83 22 71 57,Privé,Société Babypop One,10.0,,2.5,4.0,,"{""coordinates"": [2.2554510006616195, 48.92234900007587], ""type"": ""Point""}","48.92234900007587, 2.2554510006616195"
Bambolino,Multi-accueil,20 RUE HENRI MARTIN,92100,BOULOGNE BILLANCOURT,92012,01 46 08 54 91,Associatif,Société Douces Crèches,35.0,,16.0,4.0,5.0,"{""coordinates"": [2.251693999708044, 48.83763700012206], ""type"": ""Point""}","48.83763700012206, 2.251693999708044"
Bambou,Multi-accueil,106 AVENUE ARISTIDE BRIAND,92120,MONTROUGE,92049,01 46 54 05 74,Privé,Commune de Montrouge,60.0,,2.5,4.0,5.0,"{""coordinates"": [2.325621000075682, 48.81409299999857], ""type"": ""Point""}","48.81409299999857, 2.325621000075682"
Berceau des rois Clichy Bateliers,Micro crèche,19 RUE DES BATELIERS,92110,CLICHY,92024,,Privé,Société BDR 92 Clichy 19 Bateliers,12.0,,2.5,4.0,,"{""coordinates"": [2.3043170005944424, 48.90662200018001], ""type"": ""Point""}","48.90662200018001, 2.3043170005944424"
Berlingot,Multi-accueil,6 RUE MAHIAS,92100,BOULOGNE BILLANCOURT,92012,01 55 18 50 10,Commune,Commune de Boulogne-Billancourt,35.0,,2.5,4.0,,"{""coordinates"": [2.234405000566323, 48.845307000378135], ""type"": ""Point""}","48.845307000378135, 2.234405000566323"
Boulogne Galliéni 85,Micro crèche,85 RUE GALLIENI,92100,BOULOGNE BILLANCOURT,92012,01 46 05 89 46,Privé,Société Evancia,10.0,,2.5,4.0,5.0,"{""coordinates"": [2.2446150005942886, 48.837106999846526], ""type"": ""Point""}","48.837106999846526, 2.2446150005942886"
Boulogne-Billancourt Edouard Vaillant (MC),Micro crèche,41 RUE EDOUARD VAILLANT,92100,BOULOGNE BILLANCOURT,92012,01 80 87 42 80,Privé,Société Crèches de France,12.0,,2.5,4.0,,"{""coordinates"": [2.251354999685382, 48.83588099960289], ""type"": ""Point""}","48.83588099960289, 2.251354999685382"
Bulles de Crèches,Micro crèche,5 PROMENADE SAINT LEUFROY,92150,SURESNES,92073,,Privé,Société Le Manège Enchanté,11.0,,2.5,4.0,,"{""coordinates"": [2.2252020004017394, 48.86866500004769], ""type"": ""Point""}","48.86866500004769, 2.2252020004017394"
Caramel,Multi-accueil,1 ALLEE HENRI BARBUSSE,92320,CHATILLON,92020,01 46 56 98 63,Commune,Commune de Châtillon,29.0,,2.5,4.0,,"{""coordinates"": [2.2874550000287157, 48.80188399976156], ""type"": ""Point""}","48.80188399976156, 2.2874550000287157"
Caramel et Nougatine,Multi-accueil,80 RUE JEAN BLEUZEN,92170,VANVES,92075,01 46 44 97 41,Commune,Commune de Vanves,42.0,,2.5,4.0,,"{""coordinates"": [2.2971330006247728, 48.82299299968712], ""type"": ""Point""}","48.82299299968712, 2.2971330006247728"
Champs-Philippe,Micro crèche,70 RUE DES CHAMPS PHILIPPE,92250,LA GARENNE COLOMBES,92035,,Privé,Société Mer & Terre,12.0,,2.5,4.0,,"{""coordinates"": [2.2363040005450388, 48.905175999782585], ""type"": ""Point""}","48.905175999782585, 2.2363040005450388"
Claude Boujon,Multi-accueil,27 BIS AVENUE VICTOR CRESSON,92130,ISSY LES MOULINEAUX,92040,01 46 42 26 89,Commune,Commune d'Issy-les-Moulineaux,50.0,,2.5,4.0,5.0,"{""coordinates"": [2.2692070005651956, 48.82284000020672], ""type"": ""Point""}","48.82284000020672, 2.2692070005651956"
Courbevoie Donatello,Multi-accueil,1 RUE DONATELLO,92400,COURBEVOIE,92026,01 46 67 15 19,Commune,Commune de Courbevoie,60.0,,2.5,4.0,,"{""coordinates"": [2.237804000649755, 48.900065999990815], ""type"": ""Point""}","48.900065999990815, 2.237804000649755"
Cours Seguin,Multi-accueil,13 COURS DE L ILE SEGUIN,92100,BOULOGNE BILLANCOURT,92012,01 46 20 17 57,Commune,Commune de Boulogne-Billancourt,80.0,,2.5,4.0,5.0,"{""coordinates"": [2.236174999728937, 48.82865999980369], ""type"": ""Point""}","48.82865999980369, 2.236174999728937"
Crèche Beth Hilel,Multi-accueil,89 RUE CARNOT,92300,LEVALLOIS,92044,01 55 63 83 50,Associatif,Association Gan Menahem,51.0,,2.5,4.0,,"{""coordinates"": [2.2848829997135045, 48.89364100035168], ""type"": ""Point""}","48.89364100035168, 2.2848829997135045"
Crèche de Bellevue,Multi-accueil,43 AVENUE DU 11 NOVEMBRE,92190,MEUDON,92048,01 45 07 69 70,Commune,Commune de Meudon,60.0,,2.5,4.0,,"{""coordinates"": [2.2211249994846143, 48.817471000293935], ""type"": ""Point""}","48.817471000293935, 2.2211249994846143"
Crèche de l'avenue de la Gare,Multi-accueil,12 AVENUE DE LA GARE,92330,SCEAUX,92071,01 46 60 04 58,Commune,Commune de Sceaux,42.0,,2.5,4.0,5.0,"{""coordinates"": [2.2825870003263407, 48.78016400021313], ""type"": ""Point""}","48.78016400021313, 2.2825870003263407"
Crèche du Moulin,Multi-accueil,15 17 AVENUE DE LA DIVISION LECLERC,92310,SEVRES,92072,,Commune,Commune de Sèvres,99.0,34.0,2.5,4.0,5.0,"{""coordinates"": [2.2198120006158915, 48.82590699964461], ""type"": ""Point""}","48.82590699964461, 2.2198120006158915"
Crèche familiale Tony Lainé,Accueil familial,18 22 RUE BENOIT MALON,92290,CHATENAY MALABRY,92019,01 45 37 08 36,Commune,Commune de Châtenay-Malabry,50.0,50.0,2.5,4.0,5.0,"{""coordinates"": [2.2560230003226702, 48.762991000189736], ""type"": ""Point""}","48.762991000189736, 2.2560230003226702"
Crèche Montessori Little Lions Clichy,Multi-accueil,25 RUE MOZART - RUE WILLY BRANDT,92110,CLICHY,92024,,Privé,Société Montessori Little Lions Clichy,24.0,,2.5,4.0,,"{""coordinates"": [2.315687999467514, 48.905651000302875], ""type"": ""Point""}","48.905651000302875, 2.315687999467514"
Crèche Pomme d'Api - Nanterre,Multi-accueil,403 AVENUE DE LA REPUBLIQUE,92000,NANTERRE,92050,01 47 69 66 44,Public autre,Centre d'accueil et de soins hospitaliers,84.0,,2.5,4.0,5.0,"{""coordinates"": [2.22321799953619, 48.912628000311734], ""type"": ""Point""}","48.912628000311734, 2.22321799953619"
Grandir et s'épanouir,Multi-accueil,107 RUE MARCEL DASSAULT,92100,BOULOGNE BILLANCOURT,92012,09 50 10 41 68,Associatif,Association Grandir et s'épanouir,50.0,,2.5,4.0,,"{""coordinates"": [2.2471400000438835, 48.83327899970905], ""type"": ""Point""}","48.83327899970905, 2.2471400000438835"
Halte Bellevue,Multi-accueil,43 AVENUE DU 11 NOVEMBRE,92190,MEUDON,92048,01 45 07 10 47,Commune,Commune de Meudon,20.0,,2.5,4.0,,"{""coordinates"": [2.2211249994846143, 48.817471000293935], ""type"": ""Point""}","48.817471000293935, 2.2211249994846143"
Helen Keller,Multi-accueil,34 RUE DANTON,92240,MALAKOFF,92046,,Commune,Commune de Malakoff,60.0,,2.5,4.0,5.0,"{""coordinates"": [2.2994219995976786, 48.82191300000676], ""type"": ""Point""}","48.82191300000676, 2.2994219995976786"
