code_region,libelle_region,unnamed:_2,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023
84,Auvergne-Rhône-Alpes,,1833,1928,1990,2068,2157,2228,2314,2385,2522
27,Bourgogne-Franche-Comté,,452,471,505,527,548,571,618,643,665
53,Bretagne,,403,431,440,478,504,526,570,617,660
24,Centre-Val de Loire,,368,380,406,427,452,483,480,522,553
94,Corse,,61,64,68,72,72,77,78,89,91
44,Grand Est,,860,946,1021,1082,1168,1261,1343,1413,1491
32,Hauts-de-France,,876,958,1048,1124,1199,1280,1357,1425,1514
28,Normandie,,432,462,493,520,544,573,584,647,676
75,Nouvelle Aquitaine,,905,930,950,981,1030,1070,1108,1160,1231
76,Occitanie,,1114,1151,1187,1228,1271,1299,1377,1447,1473
52,Pays de la Loire,,602,657,679,684,722,767,814,867,927
93,Provence-Alpes-Côte d'Azur,,1065,1104,1167,1214,1286,1311,1353,1402,1485
11,Île-de-France,,3060,3181,3372,3478,3617,3747,3900,4055,4160
101,Guadeloupe ,,73,78,78,80,85,86,92,80,81
102,Martinique ,,115,110,89,88,91,90,92,93,93
103,Guyane,,11,24,28,30,36,40,44,47,47
104,La Réunion,,233,257,293,307,318,331,354,378,410
