annee,code_commune,nom_commune,nb_naissances,nb_places,ratio_places_par_naissance
2019,78490,PLAISIR,440,756,1.72
2019,94004,BOISSY SAINT LEGER,285,301,1.06
2019,94043,LE KREMLIN BICETRE,346,741,2.14
2019,95680,VILLIERS LE BEL,622,343,0.55
2022,92007,BAGNEUX,619,980,1.58
2022,92012,BOULOGNE BILLANCOURT,1350,3955,2.93
2022,95476,OSNY,200,384,1.92
2018,75119,PARIS 19E ARRONDISSEMENT,2717,5588,2.06
2018,78481,LE PECQ,201,372,1.85
2018,78621,TRAPPES,663,723,1.09
2018,78624,TRIEL SUR SEINE,143,244,1.71
2018,91691,YERRES,320,789,2.47
2018,93053,NOISY LE SEC,779,608,0.78
2018,95219,ERMONT,454,589,1.3
2017,77294,MITRY MORY,279,427,1.53
2017,93001,AUBERVILLIERS,1568,1027,0.65
2017,93047,MONTFERMEIL,412,394,0.96
2017,94037,GENTILLY,271,474,1.75
2017,95582,SANNOIS,393,630,1.6
2018,95500,PONTOISE,523,701,1.34
2019,75117,PARIS 17E ARRONDISSEMENT,2401,4906,2.04
2019,75118,PARIS 18E ARRONDISSEMENT,3020,5154,1.71
2019,94038,L'HAY LES ROSES,436,632,1.45
2019,94068,SAINT MAUR DES FOSSES,790,1495,1.89
2019,95572,SAINT OUEN L AUMONE,497,580,1.17
2017,75112,PARIS 12E ARRONDISSEMENT,1785,3754,2.1
2017,78383,MAUREPAS,240,444,1.85
2017,78586,SARTROUVILLE,865,1294,1.5
2017,91312,IGNY,113,248,2.19
2017,92032,FONTENAY AUX ROSES,298,521,1.75
2017,94069,SAINT MAURICE,205,350,1.71
2018,75106,PARIS 6E ARRONDISSEMENT,334,850,2.54
2018,77445,SAVIGNY LE TEMPLE,454,641,1.41
2018,78498,POISSY,648,1042,1.61
2018,78650,LE VESINET,144,369,2.56
2018,91432,MORANGIS,187,313,1.67
2018,92009,BOIS COLOMBES,381,839,2.2
2018,92051,NEUILLY SUR SEINE,664,1438,2.17
2018,94028,CRETEIL,1435,2058,1.43
2018,94067,SAINT MANDE,293,735,2.51
2022,77243,LAGNY SUR MARNE,276,400,1.45
2022,91386,MENNECY,177,305,1.72
2022,94033,FONTENAY SOUS BOIS,574,1186,2.07
2022,94038,L'HAY LES ROSES,375,641,1.71
2022,95268,GARGES LES GONESSE,644,567,0.88
2017,75120,PARIS 20E ARRONDISSEMENT,2742,5019,1.83
2017,77285,LE MEE SUR SEINE,324,567,1.75
2017,91657,VIGNEUX SUR SEINE,522,574,1.1
2017,91661,VILLEBON SUR YVETTE,107,324,3.03
2018,95607,TAVERNY,333,599,1.8
2019,78297,GUYANCOURT,436,1111,2.55
2019,91215,EPINAY SOUS SENART,181,273,1.51
2019,92026,COURBEVOIE,1202,3034,2.52
2019,92078,VILLENEUVE LA GARENNE,409,482,1.18
2019,95197,DEUIL LA BARRE,364,459,1.26
2017,78172,CONFLANS SAINTE HONORINE,507,893,1.76
2017,78311,HOUILLES,438,939,2.14
2017,92025,COLOMBES,1379,2108,1.53
2018,75118,PARIS 18E ARRONDISSEMENT,3086,5053,1.64
2018,92035,LA GARENNE COLOMBES,394,947,2.4
2018,93013,LE BOURGET,323,209,0.65
2018,93064,ROSNY SOUS BOIS,882,917,1.04
2018,93073,TREMBLAY EN FRANCE,587,680,1.16
2018,94016,CACHAN,361,669,1.85
2018,94037,GENTILLY,256,443,1.73
2022,78123,CARRIERES SOUS POISSY,410,503,1.23
2022,78418,MONTESSON,136,338,2.49
2022,91377,MASSY,936,1756,1.88
2022,91432,MORANGIS,191,315,1.65
2022,92050,NANTERRE,1493,2418,1.62
2022,92073,SURESNES,678,1662,2.45
2019,77014,AVON,180,262,1.46
2019,77186,FONTAINEBLEAU,659,296,0.45
2019,77305,MONTEREAU FAULT YONNE,1199,303,0.25
2019,77307,MONTEVRAIN,269,363,1.35
2019,92077,VILLE D AVRAY,82,280,3.41
2019,95218,ERAGNY,303,403,1.33
2019,95563,SAINT LEU LA FORET,177,312,1.76
2022,75106,PARIS 6E ARRONDISSEMENT,276,961,3.48
2022,75107,PARIS 7E ARRONDISSEMENT,412,1028,2.5
2022,78640,VELIZY VILLACOUBLAY,277,704,2.54
2018,77407,SAINT FARGEAU PONTHIERRY,561,360,0.64
2018,93071,SEVRAN,973,657,0.68
2018,94003,ARCUEIL,307,463,1.51
2018,95539,SAINT BRICE SOUS FORET,264,321,1.22
2017,75102,PARIS 2E ARRONDISSEMENT,276,604,2.19
2017,92077,VILLE D AVRAY,109,275,2.52
2017,93005,AULNAY SOUS BOIS,1466,1307,0.89
2017,93048,MONTREUIL,1778,2369,1.33
2017,94076,VILLEJUIF,796,1109,1.39
2017,95199,DOMONT,209,346,1.66
2019,91228,EVRY COURCOURONNES,1292,1469,1.14
2019,93014,CLICHY SOUS BOIS,539,338,0.63
2019,93079,VILLETANEUSE,223,171,0.77
2019,94042,JOINVILLE LE PONT,245,498,2.03
2019,95018,ARGENTEUIL,2141,2072,0.97
2019,95351,LOUVRES,507,217,0.43
2017,77053,BRIE COMTE ROBERT,804,424,0.53
2017,93007,LE BLANC MESNIL,1028,581,0.57
2018,78362,MANTES LA VILLE,425,372,0.88
2018,78383,MAUREPAS,202,454,2.25
2018,94034,FRESNES,410,590,1.44
2018,95203,EAUBONNE,498,661,1.33
2022,75118,PARIS 18E ARRONDISSEMENT,2614,5388,2.06
2022,93078,VILLEPINTE,680,495,0.73
2022,94059,LE PLESSIS TREVISE,258,390,1.51
2022,95210,ENGHIEN LES BAINS,143,154,1.08
2017,75106,PARIS 6E ARRONDISSEMENT,358,821,2.29
2017,91326,JUVISY SUR ORGE,340,362,1.06
2017,92033,GARCHES,183,501,2.74
2017,92040,ISSY LES MOULINEAUX,1002,2429,2.42
2017,93046,LIVRY GARGAN,817,704,0.86
