annee,code_commune,nom_commune,code_epci,nom_epci,code_departement,nom_departement,nb_naissances,taux_de_couv_eaje_psu,taux_de_couv_hors_eaje_psu,taux_de_couv_prescolarisation,taux_de_couv_assistante_maternelle,taux_de_couv_salariee_a_domicile,taux_de_couv_global,nb_enfants_couverts_estime
2018,75106,PARIS 6E ARRONDISSEMENT,200054781,METROPOLE DU GRAND PARIS,75,PARIS,334,64.5,0.9,0.9,2.4,24.1,92.8,310.0
2018,75112,PARIS 12E ARRONDISSEMENT,200054781,METROPOLE DU GRAND PARIS,75,PARIS,1789,50.1,3.2,0.5,9.3,11.6,74.8,1338.0
2018,75113,PARIS 13E ARRONDISSEMENT,200054781,METROPOLE DU GRAND PARIS,75,PARIS,1898,56.3,0.9,0.9,6.3,6.4,70.9,1346.0
2018,75114,PARIS 14E ARRONDISSEMENT,200054781,METROPOLE DU GRAND PARIS,75,PARIS,1609,48.6,3.2,0.9,7.6,9.5,69.8,1123.0
2018,75115,PARIS 15E ARRONDISSEMENT,200054781,METROPOLE DU GRAND PARIS,75,PARIS,2934,45.8,3.3,0.8,4.9,16.7,71.5,2098.0
2018,75116,PARIS 16E ARRONDISSEMENT,200054781,METROPOLE DU GRAND PARIS,75,PARIS,1566,30.9,3.7,1.5,1.5,24.8,62.4,977.0
2018,77083,CHAMPS SUR MARNE,200057958,CA PARIS - VALLEE DE LA MARNE,77,SEINE ET MARNE,342,25.7,0.2,0.2,23.8,1.0,51.0,174.0
2018,77153,DAMMARTIN EN GOELE,200055655,CA ROISSY PAYS DE FRANCE,77,SEINE ET MARNE,534,9.9,0.2,0.0,40.2,0.5,50.6,270.0
2018,77284,MEAUX,200072130,CA DU PAYS DE MEAUX,77,SEINE ET MARNE,2791,19.7,0.4,1.3,20.7,0.5,42.7,1192.0
2018,77288,MELUN,247700057,CA MELUN VAL DE SEINE,77,SEINE ET MARNE,2701,19.4,0.0,1.5,15.6,0.7,37.3,1007.0
2018,77305,MONTEREAU FAULT YONNE,247700107,CC PAYS DE MONTEREAU,77,SEINE ET MARNE,1238,10.2,0.4,3.3,17.5,0.5,31.9,395.0
2018,77316,MORET LOING ET ORVANNE,247700032,CC MORET SEINE ET LOING,77,SEINE ET MARNE,361,53.6,0.3,0.0,49.9,1.2,104.9,379.0
2018,77333,NEMOURS,200023240,CC PAYS DE NEMOURS,77,SEINE ET MARNE,508,0.0,1.2,0.0,35.9,0.6,37.4,190.0
2018,77487,VAUX LE PENIL,247700057,CA MELUN VAL DE SEINE,77,SEINE ET MARNE,101,42.8,0.0,0.0,44.4,0.6,87.8,89.0
2018,77514,VILLEPARISIS,200055655,CA ROISSY PAYS DE FRANCE,77,SEINE ET MARNE,412,10.1,0.1,0.6,31.1,0.6,42.5,175.0
2018,78165,LES CLAYES SOUS BOIS,200058782,CA DE SAINT QUENTIN EN YVELINES,78,YVELINES,215,22.6,3.8,3.5,31.3,1.6,63.0,135.0
2018,78172,CONFLANS SAINTE HONORINE,200059889,CU GRAND PARIS SEINE ET OISE,78,YVELINES,510,24.9,0.9,0.3,32.1,1.4,59.7,304.0
2018,78311,HOUILLES,200058519,CA SAINT GERMAIN BOUCLES DE SEINE,78,YVELINES,482,22.9,7.0,0.0,41.2,4.7,75.8,365.0
2018,78361,MANTES LA JOLIE,200059889,CU GRAND PARIS SEINE ET OISE,78,YVELINES,2828,12.3,1.8,2.0,7.4,0.5,24.0,679.0
2018,78551,SAINT GERMAIN EN LAYE,200058519,CA SAINT GERMAIN BOUCLES DE SEINE,78,YVELINES,479,32.2,6.6,0.7,16.5,6.6,62.7,300.0
2018,78640,VELIZY VILLACOUBLAY,247800584,CA VERSAILLES GRAND PARC (CAVGP),78,YVELINES,272,69.0,1.1,0.0,29.5,1.1,100.6,274.0
2018,78643,VERNOUILLET,200059889,CU GRAND PARIS SEINE ET OISE,78,YVELINES,126,19.6,2.6,4.1,22.0,1.2,49.5,62.0
2018,78674,VILLEPREUX,200058782,CA DE SAINT QUENTIN EN YVELINES,78,YVELINES,127,17.7,7.9,0.0,45.0,1.6,72.5,92.0
2018,91021,ARPAJON,200057859,CA COEUR D'ESSONNE AGGLOMERATION,91,ESSONNE,907,20.0,0.9,2.4,25.1,0.4,48.9,444.0
