date_reference,num_commune,nom_commune,numero_EPCI,nom_EPCI,numero_departement,nom_departement,places_EAJE_PSU,places_hors_EAJE_PSU,places_EAJE_ensemble,places_prescolarisation,places_assistante_maternelle,places_salariee_domicile,places_accueil_individuel_ensemble,places_offertes_ensemble
2017,01004,AMBERIEU EN BUGEY,240100883,CC DE LA PLAINE DE L'AIN,01,AIN,80,3,83,0,320,2,322,406
2017,01033,VALSERHONE,240100891,CC DU PAYS BELLEGARDIEN (CCPB),01,AIN,65,1,66,51,269,5,274,392
2017,01053,BOURG EN BRESSE,200071751,CA DU BASSIN DE BOURG-EN-BRESSE,01,AIN,331,3,334,101,362,10,372,807
2017,01322,REYRIEUX,200042497,CC DOMBES SAONE VALLEE,01,AIN,35,0,35,3,79,3,82,120
2017,02168,CHATEAU THIERRY,200072031,CA DE LA REGION DE CHATEAU-THIERRY,02,AISNE,102,1,103,37,212,5,217,357
2017,02408,LAON,200043495,CA DU PAYS DE LAON,02,AISNE,116,0,116,61,272,9,281,458
2017,03095,CUSSET,200071363,CA VICHY COMMUNAUTE,03,ALLIER,32,0,32,53,135,4,139,224
2017,05023,BRIANCON,240500439,CC DU BRIANCONNAIS,05,HAUTES ALPES,103,3,106,11,84,4,88,204
2017,06161,VILLENEUVE LOUBET,240600585,CA DE SOPHIA ANTIPOLIS,06,ALPES MARITIMES,177,3,180,0,137,5,142,322
2017,07324,TOURNON SUR RHONE,200073096,CA ARCHE AGGLO,07,ARDECHE,50,0,50,43,127,6,133,226
2017,09225,PAMIERS,200066231,CC DES PORTES D'ARIEGE PYRENEES,09,ARIEGE,178,0,178,27,97,2,99,304
2017,11076,CASTELNAUDARY,200035855,CC CASTELNAUDARY LAURAGAIS AUDOIS,11,AUDE,40,10,50,29,98,6,104,183
2017,12202,RODEZ,241200187,CA RODEZ AGGLOMERATION,12,AVEYRON,216,5,221,67,169,18,187,475
2017,12300,VILLEFRANCHE DE ROUERGUE,200069383,CC DU GRAND VILLEFRANCHOIS,12,AVEYRON,44,0,44,36,135,0,135,215
2017,13001,AIX EN PROVENCE,200054807,METROPOLE D'AIX-MARSEILLE-PROVENCE,13,BOUCHES DU RHONE,1326,141,1467,85,977,133,1110,2662
2017,13028,LA CIOTAT,200054807,METROPOLE D'AIX-MARSEILLE-PROVENCE,13,BOUCHES DU RHONE,236,1,237,28,282,16,298,563
2017,13069,PELISSANNE,200054807,METROPOLE D'AIX-MARSEILLE-PROVENCE,13,BOUCHES DU RHONE,72,3,75,7,134,2,136,218
2017,13081,ROGNAC,200054807,METROPOLE D'AIX-MARSEILLE-PROVENCE,13,BOUCHES DU RHONE,81,3,84,0,133,3,136,220
2017,13117,VITROLLES,200054807,METROPOLE D'AIX-MARSEILLE-PROVENCE,13,BOUCHES DU RHONE,378,16,394,70,266,13,279,743
2017,13203,MARSEILLE 3E ARRONDISSEMENT,200054807,METROPOLE D'AIX-MARSEILLE-PROVENCE,13,BOUCHES DU RHONE,359,14,373,100,117,14,131,604
2017,13205,MARSEILLE 5E ARRONDISSEMENT,200054807,METROPOLE D'AIX-MARSEILLE-PROVENCE,13,BOUCHES DU RHONE,549,77,626,0,327,30,357,983
2017,13210,MARSEILLE 10E ARRONDISSEMENT,200054807,METROPOLE D'AIX-MARSEILLE-PROVENCE,13,BOUCHES DU RHONE,320,45,365,48,374,23,397,810
2017,21166,CHENOVE,242100410,DIJON METROPOLE,21,COTE D OR,96,7,103,90,159,8,167,360
2017,21231,DIJON,242100410,DIJON METROPOLE,21,COTE D OR,1555,128,1683,185,1210,78,1288,3156
2017,23096,GUERET,200034825,CA DU GRAND GUERET,23,CREUSE,82,0,82,33,164,1,165,280
2017,26057,BOURG DE PEAGE,200068781,CA VALENCE ROMANS AGGLO,26,DROME,20,7,27,0,129,8,137,163
2017,26198,MONTELIMAR,200040459,CA MONTELIMAR AGGLOMERATION,26,DROME,186,33,219,58,396,5,401,678
2017,27229,EVREUX,200071454,CA EVREUX PORTES DE NORMANDIE,27,EURE,483,12,495,75,318,3,321,890
2017,27467,PONT AUDEMER,200065787,CC DE PONT-AUDEMER / VAL DE RISLE,27,EURE,20,1,21,30,147,0,147,198
2017,28085,CHARTRES,200033181,CA CHARTRES METROPOLE,28,EURE ET LOIR,365,7,372,43,363,17,380,795
2017,29046,DOUARNENEZ,242900645,CC DOUARNENEZ COMMUNAUTE,29,FINISTERE,42,0,42,56,139,0,139,237
2017,30341,VAUVERT,243000593,CC DE PETITE CAMARGUE,30,GARD,37,0,37,31,71,1,72,140
2017,31116,CASTELGINEST,243100518,TOULOUSE METROPOLE,31,HAUTE GARONNE,49,0,49,0,201,4,205,255
2017,31557,TOURNEFEUILLE,243100518,TOULOUSE METROPOLE,31,HAUTE GARONNE,268,5,273,14,318,33,351,638
2017,33005,ANDERNOS LES BAINS,243301504,CA DU BASSIN D'ARCACHON NORD,33,GIRONDE,42,0,42,5,108,3,111,158
2017,33249,LORMONT,243300316,BORDEAUX METROPOLE,33,GIRONDE,166,4,170,74,223,4,227,471
2017,33522,TALENCE,243300316,BORDEAUX METROPOLE,33,GIRONDE,390,28,418,6,448,34,482,906
2017,34123,JUVIGNAC,243400017,MONTPELLIER MEDITERRANEE METROPOLE,34,HERAULT,70,3,73,0,125,7,132,205
2017,34145,LUNEL,243400520,CC DU PAYS DE LUNEL,34,HERAULT,103,3,106,35,273,7,280,420
2017,34301,SETE,200066355,CA SETE AGGLOPOLE MEDITERRANEE,34,HERAULT,226,32,258,35,168,11,179,472
2017,35115,FOUGERES,200072452,CA FOUGERES AGGLOMERATION,35,ILLE ET VILAINE,84,18,102,67,223,4,227,395
2017,35360,VITRE,200039022,CA VITRE COMMUNAUTE,35,ILLE ET VILAINE,105,0,105,45,342,12,354,504
2017,37109,FONDETTES,243700754,TOURS METROPOLE VAL DE LOIRE,37,INDRE ET LOIRE,70,1,71,0,160,8,168,238
2017,37156,MONTLOUIS SUR LOIRE,200073161,CC TOURAINE-EST VALLEES,37,INDRE ET LOIRE,35,0,35,0,273,6,279,315
2017,38158,EYBENS,200040715,GRENOBLE-ALPES-METROPOLE,38,ISERE,191,15,206,0,131,12,143,349
2017,38229,MEYLAN,200040715,GRENOBLE-ALPES-METROPOLE,38,ISERE,194,15,209,0,199,23,222,430
2017,38317,LE PONT DE CLAIX,200040715,GRENOBLE-ALPES-METROPOLE,38,ISERE,119,0,119,38,143,1,144,302
2017,40046,BISCARROSSE,244000873,CC DES GRANDS LACS,40,LANDES,84,1,85,0,178,1,179,264
2017,40312,TARNOS,244000659,CC DU SEIGNANX,40,LANDES,60,40,100,3,137,7,144,248
2017,42184,RIORGES,200035731,CA ROANNAIS AGGLOMERATION,42,LOIRE,42,4,46,7,115,6,121,174
2017,43157,LE PUY EN VELAY,200073419,CA DU PUY-EN-VELAY,43,HAUTE LOIRE,81,3,84,131,175,7,182,397
2017,44047,COUERON,244400404,NANTES METROPOLE,44,LOIRE ATLANTIQUE,64,31,95,0,525,10,535,630
