date_reference,numero_commune,nom_commune,numero_epci,nom_epci,numero_departement,nom_departement,taux_de_couv_eaje_psu,taux_de_couv_hors_eaje_psu,taux_de_couv_eaje_ensemble,taux_de_couv_prescolarisation,taux_de_couv_assistante_maternelle,taux_de_couv_salariee_a_domicile,taux_de_couv_accueil_individuel_ensemble,taux_de_couv_global
2017,97116,MORNE L EAU,200044691,CA DU NORD GRANDE TERRE,971,GUADELOUPE,0.0,0.8,0.8,8.1,9.5,0.5,10.0,19.0
2017,97120,POINTE PITRE,200018653,CA CAP EXCELLENCE,971,GUADELOUPE,27.0,0.7,27.7,10.5,7.6,0.6,8.2,46.3
2017,97128,SAINTE ANNE,200041507,CA LA RIVIERA DU LEVANT,971,GUADELOUPE,10.9,4.4,15.3,0.7,12.8,0.4,13.1,29.2
2017,97129,SAINTE ROSE,249710062,CA DU NORD BASSE-TERRE,971,GUADELOUPE,19.2,1.4,20.7,7.4,10.1,0.4,10.6,38.5
2017,97228,SAINTE MARIE,200041788,CA DU PAYS NORD MARTINIQUE,972,MARTINIQUE,10.3,7.4,17.7,13.6,13.6,0.8,14.4,45.6
2017,97229,SCHOELCHER,249720061,CA DU CENTRE DE LA MARTINIQUE,972,MARTINIQUE,32.9,2.1,35.0,11.1,13.4,1.5,14.9,61.0
2017,97302,CAYENNE,249730045,CA DU CENTRE LITTORAL,973,GUYANE,11.7,0.2,11.9,0.2,3.4,0.5,3.9,16.0
2017,97309,REMIRE MONTJOLY,249730045,CA DU CENTRE LITTORAL,973,GUYANE,14.5,0.3,14.7,0.3,6.6,1.3,7.9,23.1
2017,97311,SAINT LAURENT DU MARONI,249730037,CC DE L'OUEST GUYANAIS,973,GUYANE,2.1,0.0,2.1,0.0,1.1,0.1,1.2,3.3
2017,97402,BRAS PANON,249740093,CA INTERCOMMUNALE DE LA REUNION EST (CIREST),974,LA REUNION,8.0,4.8,12.7,11.5,6.4,1.5,8.0,32.2
2017,97404,L'ETANG SALE,249740077,CA CIVIS (COMMUNAUTE INTERCOMMUNALE DES VILLES SOLIDAIRES),974,LA REUNION,9.6,6.7,16.3,0.0,18.2,4.2,22.4,38.7
2017,97407,LE PORT,249740101,CA TERRITOIRE DE LA COTE OUEST (TCO),974,LA REUNION,16.1,1.7,17.8,5.8,4.9,0.6,5.5,29.1
2017,97410,SAINT BENOIT,249740093,CA INTERCOMMUNALE DE LA REUNION EST (CIREST),974,LA REUNION,10.2,4.4,14.6,3.1,4.7,1.2,5.9,23.6
2017,97411,SAINT DENIS,249740119,CA INTERCOMMUNALE DU NORD DE LA REUNION (CINOR),974,LA REUNION,20.2,7.9,28.0,5.1,6.8,1.4,8.2,41.3
2017,97412,SAINT JOSEPH,249740085,CA DU SUD,974,LA REUNION,3.8,8.7,12.5,6.3,4.3,1.4,5.6,24.5
2017,97413,SAINT LEU,249740101,CA TERRITOIRE DE LA COTE OUEST (TCO),974,LA REUNION,10.3,5.2,15.5,3.8,14.3,2.2,16.4,35.8
2017,97414,SAINT LOUIS,249740077,CA CIVIS (COMMUNAUTE INTERCOMMUNALE DES VILLES SOLIDAIRES),974,LA REUNION,2.9,2.8,5.6,2.5,8.3,1.8,10.2,18.2
2017,97416,SAINT PIERRE,249740077,CA CIVIS (COMMUNAUTE INTERCOMMUNALE DES VILLES SOLIDAIRES),974,LA REUNION,13.1,7.1,20.2,2.5,11.4,1.3,12.8,35.5
2017,97418,SAINTE MARIE,249740119,CA INTERCOMMUNALE DU NORD DE LA REUNION (CINOR),974,LA REUNION,20.9,10.1,31.0,0.5,8.5,1.5,10.0,41.4
2018,01053,BOURG EN BRESSE,200071751,CA DU BASSIN DE BOURG-EN-BRESSE,01,AIN,22.4,0.5,22.9,8.0,22.6,1.2,23.8,54.6
2018,01321,REVONNAS,200071751,CA DU BASSIN DE BOURG-EN-BRESSE,01,AIN,0.0,4.8,4.8,0.0,71.4,0.0,71.4,81.0
2018,01325,RIGNIEUX LE FRANC,240100883,CC DE LA PLAINE DE L'AIN,01,AIN,0.0,0.0,0.0,0.0,92.0,0.0,92.0,92.0
2018,01354,SAINT GENIS POUILLY,240100750,CA DU PAYS DE GEX,01,AIN,14.2,0.3,14.5,0.0,25.4,0.2,25.6,40.1
2018,02408,LAON,200043495,CA DU PAYS DE LAON,02,AISNE,12.7,0.2,13.0,3.6,27.2,0.3,27.6,44.1
2018,02738,TERGNIER,200071785,CA CHAUNY TERGNIER LA FERE,02,AISNE,6.9,3.2,10.1,9.8,42.6,1.1,43.7,63.6
2018,03321,YZEURE,200071140,CA MOULINS COMMUNAUTE,03,ALLIER,37.2,0.0,37.2,9.3,40.7,1.6,42.3,88.8
2018,06004,ANTIBES,240600585,CA DE SOPHIA ANTIPOLIS,06,ALPES MARITIMES,19.7,1.6,21.3,0.4,30.2,1.8,32.0,53.7
2018,06012,BEAUSOLEIL,240600551,CA DE LA RIVIERA FRANCAISE,06,ALPES MARITIMES,10.8,0.2,11.0,1.8,10.5,0.0,10.5,23.3
2018,06027,CAGNES SUR MER,200030195,METROPOLE NICE COTE D'AZUR,06,ALPES MARITIMES,23.9,2.3,26.3,1.3,24.8,1.0,25.8,53.4
2018,06029,CANNES,200039915,CA CANNES PAYS DE LERINS,06,ALPES MARITIMES,36.3,2.6,38.9,2.0,11.3,1.5,12.8,53.7
2018,06088,NICE,200030195,METROPOLE NICE COTE D'AZUR,06,ALPES MARITIMES,25.3,1.0,26.3,2.6,14.7,1.4,16.1,45.0
2018,06104,ROQUEBRUNE CAP MARTIN,240600551,CA DE LA RIVIERA FRANCAISE,06,ALPES MARITIMES,35.3,0.0,35.3,2.4,12.1,0.3,12.4,50.0
2018,06152,VALBONNE,240600585,CA DE SOPHIA ANTIPOLIS,06,ALPES MARITIMES,54.2,0.0,54.2,0.0,40.8,2.9,43.7,97.9
2018,08105,CHARLEVILLE MEZIERES,200041630,CA ARDENNE METROPOLE,08,ARDENNES,28.0,2.7,30.7,10.7,20.2,0.7,20.9,62.4
2018,09225,PAMIERS,200066231,CC DES PORTES D'ARIEGE PYRENEES,09,ARIEGE,32.7,0.0,32.7,2.8,18.4,0.6,18.9,54.4
2018,10323,ROMILLY SUR SEINE,200000545,CC DES PORTES DE ROMILLY SUR SEINE,10,AUBE,10.9,0.0,10.9,8.7,28.6,0.6,29.2,48.8
2018,11069,CARCASSONNE,200035715,CA CARCASSONNE AGGLO,11,AUDE,20.4,0.0,20.4,7.4,22.9,2.2,25.1,53.0
2018,11203,LEZIGNAN CORBIERES,200035863,"CC REGION LEZIGNANAISE, CORBIERES ET MINERVOIS",11,AUDE,14.1,0.0,14.1,7.0,20.3,0.3,20.6,41.7
2018,11262,NARBONNE,241100593,CA LE GRAND NARBONNE,11,AUDE,16.5,0.8,17.3,5.1,22.0,1.6,23.7,46.1
2018,12202,RODEZ,241200187,CA RODEZ AGGLOMERATION,12,AVEYRON,36.9,1.8,38.7,15.0,27.7,2.5,30.2,83.9
2018,12300,VILLEFRANCHE DE ROUERGUE,200069383,CC OUEST AVEYRON COMMUNAUTE,12,AVEYRON,13.2,0.0,13.2,10.8,39.9,0.3,40.2,64.3
2018,13001,AIX EN PROVENCE,200054807,METROPOLE D'AIX-MARSEILLE-PROVENCE,13,BOUCHES DU RHONE,31.2,3.8,35.0,1.7,22.7,3.6,26.2,63.0
2018,13004,ARLES,241300417,CA D'ARLES-CRAU-CAMARGUE-MONTAGNETTE,13,BOUCHES DU RHONE,10.1,0.5,10.6,4.7,18.6,0.5,19.1,34.4
2018,13005,AUBAGNE,200054807,METROPOLE D'AIX-MARSEILLE-PROVENCE,13,BOUCHES DU RHONE,20.5,0.8,21.3,0.1,24.1,0.7,24.8,46.2
2018,13014,BERRE L ETANG,200054807,METROPOLE D'AIX-MARSEILLE-PROVENCE,13,BOUCHES DU RHONE,14.1,0.2,14.3,2.2,11.0,0.6,11.6,28.0
